sepal_length,sepal_width,petal_length,petal_width,sepal_length_quantile_bin,sepal_width_quantile_bin,petal_length_quantile_bin,petal_width_quantile_bin,sepal_length_uniform_bin,sepal_width_uniform_bin,petal_length_uniform_bin,petal_width_uniform_bin,sepal_length_robust_scaled,sepal_width_robust_scaled,petal_length_robust_scaled,petal_width_robust_scaled,sepal_length_max_absolute_scaled,sepal_width_max_absolute_scaled,petal_length_max_absolute_scaled,petal_width_max_absolute_scaled,sepal_length_max_min_max_scaled,sepal_width_max_min_max_scaled,petal_length_max_min_max_scaled,petal_width_max_min_max_scaled,sepal_length_logged,sepal_width_logged,petal_length_logged,petal_width_logged,sepal_length_standardized,sepal_width_standardized,petal_length_standardized,petal_width_standardized,sepal_length_binarized,sepal_width_binarized,petal_length_binarized,petal_width_binarized,sepal_length_x_sepal_width_interaction,sepal_length_plus_sepal_width_interaction,sepal_length_x_petal_length_interaction,sepal_length_plus_petal_length_interaction,sepal_length_x_petal_width_interaction,sepal_length_plus_petal_width_interaction,sepal_width_x_petal_length_interaction,sepal_width_plus_petal_length_interaction,sepal_width_x_petal_width_interaction,sepal_width_plus_petal_width_interaction,petal_length_x_petal_width_interaction,petal_length_plus_petal_width_interaction,species,species_label_encoded,species_setosa,species_versicolor,species_virginica
5.5,2.6,4.4,1.2,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,-0.29166666666666635,-0.7999999999999998,0.0,-0.06666666666666672,0.6962025316455696,0.5909090909090908,0.6376811594202899,0.48,0.33333333333333326,0.18181818181818188,0.5689655172413792,0.4583333333333333,1.8718021769015913,1.2809338454620642,1.6863989535702288,0.7884573603642702,-0.45657879643887334,-0.9576164129766261,0.31865006988422395,-0.021781095524358314,0,0,0,0,14.3,8.1,24.200000000000003,9.9,6.6,6.7,11.440000000000001,7.0,3.12,3.8,5.28,5.6000000000000005,versicolor,1,0.0,1.0,0.0
5.5,4.2,1.4,0.2,1.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,-0.29166666666666635,2.4000000000000004,-0.8571428571428574,-0.7333333333333334,0.6962025316455696,0.9545454545454545,0.20289855072463767,0.08,0.33333333333333326,0.9090909090909092,0.05172413793103445,0.04166666666666667,1.8718021769015913,1.6486586255873816,0.8754687373538999,0.18232155679395462,-0.45657879643887334,2.589111042492364,-1.4215505544835032,-1.3830995657967518,0,1,0,0,23.1,9.7,7.699999999999999,6.9,1.1,5.7,5.88,5.6,0.8400000000000001,4.4,0.27999999999999997,1.5999999999999999,setosa,0,1.0,0.0,0.0
4.9,3.1,1.5,0.2,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,-0.791666666666666,0.20000000000000018,-0.8285714285714287,-0.7333333333333334,0.620253164556962,0.7045454545454545,0.21739130434782608,0.08,0.16666666666666674,0.40909090909090917,0.06896551724137928,0.04166666666666667,1.7749523509116738,1.410986973710262,0.9162907318741551,0.18232155679395462,-1.2105621300076548,0.15073591685743318,-1.363543867004579,-1.3830995657967518,0,1,0,0,15.190000000000001,8.0,7.3500000000000005,6.4,0.9800000000000001,5.1000000000000005,4.65,4.6,0.6200000000000001,3.3000000000000003,0.30000000000000004,1.7,setosa,0,1.0,0.0,0.0
6.1,2.8,4.7,1.2,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,0.20833333333333331,-0.40000000000000036,0.08571428571428567,-0.06666666666666672,0.7721518987341771,0.6363636363636362,0.6811594202898551,0.48,0.4999999999999998,0.2727272727272727,0.6206896551724137,0.4583333333333333,1.9600947840472698,1.33500106673234,1.7404661748405046,0.7884573603642702,0.297404537129908,-0.514275481043003,0.49267013232099655,-0.021781095524358314,1,0,1,0,17.08,8.899999999999999,28.669999999999998,10.8,7.319999999999999,7.3,13.16,7.5,3.36,4.0,5.64,5.9,versicolor,1,0.0,1.0,0.0
6.1,2.8,4.0,1.3,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.20833333333333331,-0.40000000000000036,-0.11428571428571441,0.0,0.7721518987341771,0.6363636363636362,0.5797101449275363,0.52,0.4999999999999998,0.2727272727272727,0.49999999999999994,0.5000000000000001,1.9600947840472698,1.33500106673234,1.6094379124341003,0.832909122935104,0.297404537129908,-0.514275481043003,0.08662331996852683,0.11435075150288115,1,0,0,0,17.08,8.899999999999999,24.4,10.1,7.93,7.3999999999999995,11.2,6.8,3.6399999999999997,4.1,5.2,5.3,versicolor,1,0.0,1.0,0.0
5.2,3.5,1.5,0.2,1.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,-0.5416666666666662,1.0,-0.8285714285714287,-0.7333333333333334,0.6582278481012658,0.7954545454545454,0.21739130434782608,0.08,0.25,0.5909090909090908,0.06896551724137928,0.04166666666666667,1.824549292051046,1.5040773967762742,0.9162907318741551,0.18232155679395462,-0.833570463223264,1.0374177807246805,-1.363543867004579,-1.3830995657967518,0,1,0,0,18.2,8.7,7.800000000000001,6.7,1.04,5.4,5.25,5.0,0.7000000000000001,3.7,0.30000000000000004,1.7,setosa,0,1.0,0.0,0.0
5.7,3.0,4.2,1.2,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,-0.12499999999999954,0.0,-0.057142857142857204,-0.06666666666666672,0.7215189873417721,0.6818181818181818,0.6086956521739131,0.48,0.38888888888888884,0.36363636363636354,0.5344827586206897,0.4583333333333333,1.9021075263969205,1.3862943611198906,1.6486586255873816,0.7884573603642702,-0.20525101858261255,-0.07093454910937888,0.2026366949263754,-0.021781095524358314,0,0,0,0,17.1,8.7,23.94,9.9,6.84,6.9,12.600000000000001,7.2,3.5999999999999996,4.2,5.04,5.4,versicolor,1,0.0,1.0,0.0
6.5,3.0,5.5,1.8,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.5416666666666669,0.0,0.3142857142857142,0.3333333333333333,0.8227848101265822,0.6818181818181818,0.7971014492753623,0.72,0.6111111111111112,0.36363636363636354,0.7586206896551724,0.7083333333333334,2.0149030205422647,1.3862943611198906,1.8718021769015913,1.0296194171811583,0.8000600928424296,-0.07093454910937888,0.9567236321523903,0.7950099866390778,1,0,1,1,19.5,9.5,35.75,12.0,11.700000000000001,8.3,16.5,8.5,5.4,4.8,9.9,7.3,virginica,2,0.0,0.0,1.0
4.4,3.2,1.3,0.2,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,-1.2083333333333326,0.40000000000000036,-0.885714285714286,-0.7333333333333334,0.5569620253164557,0.7272727272727273,0.18840579710144928,0.08,0.0277777777777779,0.4545454545454546,0.03448275862068964,0.04166666666666667,1.6863989535702288,1.4350845252893227,0.832909122935104,0.18232155679395462,-1.8388815746483063,0.37240638282424526,-1.4795572419624272,-1.3830995657967518,0,1,0,0,14.080000000000002,7.6000000000000005,5.720000000000001,5.7,0.8800000000000001,4.6000000000000005,4.16,4.5,0.6400000000000001,3.4000000000000004,0.26,1.5,setosa,0,1.0,0.0,0.0
5.2,4.1,1.5,0.1,1.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,-0.5416666666666662,2.1999999999999993,-0.8285714285714287,-0.7999999999999999,0.6582278481012658,0.9318181818181817,0.21739130434782608,0.04,0.25,0.8636363636363633,0.06896551724137928,0.0,1.824549292051046,1.62924053973028,0.9162907318741551,0.09531017980432487,-0.833570463223264,2.3674405765255506,-1.363543867004579,-1.519231412823991,0,1,0,0,21.32,9.3,7.800000000000001,6.7,0.52,5.3,6.1499999999999995,5.6,0.41,4.199999999999999,0.15000000000000002,1.6,setosa,0,1.0,0.0,0.0
